id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
tm1064532;Deep;MOVIE;2021;;['scifi', 'thriller', 'drama'];4.800000;70.521004;70.521004
tm1066324;Super Monsters: Once Upon a Rhyme;MOVIE;2021;;['animation', 'family'];5.600000;53.762001;53.762001
tm1066826;Diana: The Musical;MOVIE;2021;PG-13;['history', 'music', 'romance', 'drama'];4.200000;5.117000;5.117000
tm1067260;Tughlaq Durbar;MOVIE;2021;;['drama', 'thriller', 'comedy'];5.400000;2.386000;2.386000
tm1067148;The Sea Beast;MOVIE;2022;PG;['comedy', 'family', 'fantasy', 'scifi', 'animation'];7.100000;1723.363037;1723.363037
tm106625;LSD: Love, Sex aur Dhokha;MOVIE;2010;PG-13;['drama', 'comedy', 'crime', 'romance'];7.200000;3.126000;3.126000
tm1063792;;MOVIE;2015;;[];0.000000;0.000000;0.000000
tm105329;Road to Perdition;MOVIE;2002;R;['thriller', 'documentation', 'drama', 'crime'];7.700000;18.739000;18.739000
tm1046264;The Vault;MOVIE;2021;R;['crime', 'action', 'thriller', 'fantasy'];6.400000;22.455999;22.455999
tm103732;Udaan;MOVIE;2010;R;['drama'];8.100000;5.019000;5.019000
tm1068632;Bartkowiak;MOVIE;2021;;['action', 'thriller', 'crime', 'sport'];5.100000;62.624001;62.624001
tm1068720;D.O.D.: Day of Destiny;MOVIE;2021;;['scifi', 'comedy', 'drama'];5.000000;2.664000;2.664000
tm1068777;Bankrolled;MOVIE;2021;;['comedy'];4.000000;20.242001;20.242001
tm1068745;Finding Hubby;MOVIE;2020;;['comedy', 'romance'];0.000000;1.597000;1.597000
tm1068692;Emicida AmarElo Live in Sao Paulo;MOVIE;2021;;['documentation', 'music'];7.600000;1.880000;1.880000
tm1072066;Blasted;MOVIE;2022;;['action', 'comedy', 'scifi'];4.800000;41.268002;41.268002
tm1073298;Awon Boyz;MOVIE;2019;;['documentation'];0.000000;0.650000;0.650000
tm1073233;Motu Patlu in the City of Gold;MOVIE;2018;G;[];0.000000;2.089000;2.089000
tm1070032;Black Island;MOVIE;2021;;['thriller', 'drama'];5.200000;62.875000;62.875000
tm1073433;Shiva: The Secret World Of Vedas City;MOVIE;2017;G;[];0.000000;1.400000;1.400000
tm1073555;Thimmarusu: Assignment Vali;MOVIE;2021;;['crime', 'thriller', 'drama'];7.200000;1.932000;1.932000
tm1073510;SAS: Red Notice;MOVIE;2021;R;['thriller', 'action', 'drama'];5.200000;89.579002;89.579002
tm1073482;Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers;MOVIE;2018;G;[];0.000000;1.133000;1.133000
tm1073424;Motu Patlu the Superheroes � Super Villains from Mars;MOVIE;2019;G;['animation', 'action', 'comedy'];0.000000;0.890000;0.890000
tm1073802;Mimi;MOVIE;2021;;['comedy', 'drama'];0.000000;8.333000;8.333000
tm1074617;Bling Empire - The Afterparty;MOVIE;2021;;[];0.000000;0.000000;0.000000
tm10739;Johnny Mnemonic;MOVIE;1995;R;['action', 'drama', 'scifi', 'thriller'];5.600000;10.750000;10.750000
