id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
ts252856;Challenger: The Final Flight;SHOW;2020;TV-14;['documentation', 'history'];7,8;14,707;7,1
tm465724;See You Yesterday;MOVIE;2019;;['scifi', 'thriller', 'action', 'crime', 'drama'];5,2;7,583;5,6
tm849005;The Willoughbys;MOVIE;2020;PG;['comedy', 'fantasy', 'animation', 'drama', 'family'];6,3;22,543;7,1
ts225787;Unabomber: In His Own Words;SHOW;2020;TV-MA;['crime', 'documentation'];7,2;4,465;7,4
ts254592;Song Exploder;SHOW;2020;TV-MA;['documentation', 'music'];7,4;1,366;8
ts218500;Dragons: Rescue Riders;SHOW;2019;TV-Y;['action', 'comedy', 'family', 'fantasy', 'animation', 'scifi'];5,9;10,237;7
tm451512;Close;MOVIE;2019;R;['action', 'thriller', 'drama'];5,7;17,405;5,82
ts224796;The Ghost Bride;SHOW;2020;TV-14;['drama'];6,2;7,036;7
tm369389;The Silence of Others;MOVIE;2019;;['documentation', 'history', 'european'];8;9,886;8,2
tm933375;Cuties;MOVIE;2020;NC-17;['drama', 'european'];3,4;10,271;5,3
ts251420;Hoops;SHOW;2020;;['comedy', 'animation'];;7,627;7,226
